,0
1225,Medicine and Dentistry
1226,English Language
1227,Customer and Personal Service
1228,Biology
1229,Psychology
1230,Administration and Management
1231,Administrative
1232,Personnel and Human Resources
1233,Education and Training
1234,Therapy and Counseling
1235,Sales and Marketing
1236,Computers and Electronics
1237,Medicine and Dentistry
1238,Customer and Personal Service
1239,English Language
1240,Education and Training
1241,Administration and Management
1242,Administrative
1243,Biology
1244,Computers and Electronics
1245,Therapy and Counseling
1246,Mathematics
1247,Psychology
1248,Personnel and Human Resources
1249,Economics and Accounting
1250,Chemistry
1251,Law and Government
1252,Therapy and Counseling
1253,Psychology
1254,Customer and Personal Service
1255,Medicine and Dentistry
1256,English Language
1257,Education and Training
1258,Biology
1259,Sociology and Anthropology
1260,Psychology
1261,Therapy and Counseling
1262,Customer and Personal Service
1263,English Language
1264,Education and Training
1265,Sociology and Anthropology
1266,Administration and Management
1267,Administrative
1268,Medicine and Dentistry
1269,Biology
1270,Psychology
1271,Medicine and Dentistry
1272,Therapy and Counseling
1273,English Language
1274,Customer and Personal Service
1275,Mathematics
1276,Sociology and Anthropology
1277,Education and Training
1278,English Language
1279,Education and Training
1280,Administration and Management
1281,Economics and Accounting
1282,Mathematics
1283,Computers and Electronics
1284,Law and Government
1285,Customer and Personal Service
1286,Personnel and Human Resources
1287,Communications and Media
1288,Psychology
1289,Administrative
1290,Computers and Electronics
1291,Education and Training
1292,English Language
1293,Customer and Personal Service
1294,Mathematics
1295,Engineering and Technology
1296,Administration and Management
1297,Administrative
1298,Design
1299,Public Safety and Security
1300,Communications and Media
1301,Personnel and Human Resources
1302,Telecommunications
1303,Economics and Accounting
1304,Law and Government
1305,Design
1306,English Language
1307,Building and Construction
1308,Education and Training
1309,Communications and Media
1310,Computers and Electronics
1311,Public Safety and Security
1312,Fine Arts
1313,Engineering and Technology
1314,Law and Government
1315,Sociology and Anthropology
1316,Mathematics
1317,History and Archeology
1318,Psychology
1319,Engineering and Technology
1320,Design
1321,Computers and Electronics
1322,Mathematics
1323,English Language
1324,Physics
1325,Education and Training
1326,Mechanical
1327,Chemistry
1328,Administration and Management
1329,Production and Processing
1330,Biology
1331,Education and Training
1332,English Language
1333,Administration and Management
1334,Customer and Personal Service
1335,Food Production
1336,Communications and Media
1337,Mathematics
1338,Geography
1339,Computers and Electronics
1340,Administrative
1341,Law and Government
1342,Personnel and Human Resources
1343,Public Safety and Security
1344,Biology
1345,English Language
1346,Mathematics
1347,Chemistry
1348,Education and Training
1349,Computers and Electronics
1350,Administrative
1351,Medicine and Dentistry
1352,Communications and Media
1353,Geography
1354,English Language
1355,Education and Training
1356,Mathematics
1357,Biology
1358,Computers and Electronics
1359,Geography
1360,Personnel and Human Resources
1361,Administrative
1362,Administration and Management
1363,Education and Training
1364,English Language
1365,Mathematics
1366,Physics
1367,Chemistry
1368,Biology
